date,cases,deaths,casespt,casespm,days
2020-01-21,1,0,3.0211238398812704e-06,0.0030211238398812706,1
2020-01-22,1,0,3.0211238398812704e-06,0.0030211238398812706,2
2020-01-23,1,0,3.0211238398812704e-06,0.0030211238398812706,3
2020-01-24,2,0,6.042247679762541e-06,0.006042247679762541,4
2020-01-25,3,0,9.063371519643811e-06,0.009063371519643811,5
2020-01-26,5,0,1.5105619199406354e-05,0.015105619199406353,6
2020-01-27,5,0,1.5105619199406354e-05,0.015105619199406353,7
2020-01-28,5,0,1.5105619199406354e-05,0.015105619199406353,8
2020-01-29,5,0,1.5105619199406354e-05,0.015105619199406353,9
2020-01-30,6,0,1.8126743039287622e-05,0.018126743039287622,10
2020-01-31,7,0,2.1147866879168894e-05,0.021147866879168892,11
2020-02-01,8,0,2.4168990719050163e-05,0.024168990719050164,12
2020-02-02,11,0,3.323236223869398e-05,0.033232362238693976,13
2020-02-03,11,0,3.323236223869398e-05,0.033232362238693976,14
2020-02-04,11,0,3.323236223869398e-05,0.033232362238693976,15
2020-02-05,12,0,3.6253486078575245e-05,0.036253486078575245,16
2020-02-06,12,0,3.6253486078575245e-05,0.036253486078575245,17
2020-02-07,12,0,3.6253486078575245e-05,0.036253486078575245,18
2020-02-08,12,0,3.6253486078575245e-05,0.036253486078575245,19
2020-02-09,12,0,3.6253486078575245e-05,0.036253486078575245,20
2020-02-10,13,0,3.927460991845652e-05,0.039274609918456514,21
2020-02-11,13,0,3.927460991845652e-05,0.039274609918456514,22
2020-02-12,14,0,4.229573375833779e-05,0.042295733758337783,23
2020-02-13,15,0,4.5316857598219054e-05,0.04531685759821905,24
2020-02-14,15,0,4.5316857598219054e-05,0.04531685759821905,25
2020-02-15,15,0,4.5316857598219054e-05,0.04531685759821905,26
2020-02-16,15,0,4.5316857598219054e-05,0.04531685759821905,27
2020-02-17,25,0,7.552809599703176e-05,0.07552809599703177,28
2020-02-18,25,0,7.552809599703176e-05,0.07552809599703177,29
2020-02-19,25,0,7.552809599703176e-05,0.07552809599703177,30
2020-02-20,27,0,8.15703436767943e-05,0.0815703436767943,31
2020-02-21,30,0,9.063371519643811e-05,0.0906337151964381,32
2020-02-22,30,0,9.063371519643811e-05,0.0906337151964381,33
2020-02-23,30,0,9.063371519643811e-05,0.0906337151964381,34
2020-02-24,43,0,0.00012990832511489465,0.12990832511489464,35
2020-02-25,45,0,0.00013595057279465716,0.13595057279465717,36
2020-02-26,60,0,0.00018126743039287622,0.1812674303928762,37
2020-02-27,60,0,0.00018126743039287622,0.1812674303928762,38
2020-02-28,65,0,0.00019637304959228258,0.19637304959228258,39
2020-02-29,70,1,0.00021147866879168894,0.21147866879168892,40
2020-03-01,88,3,0.00026585889790955183,0.2658588979095518,41
2020-03-02,104,6,0.00031419687934765213,0.3141968793476521,42
2020-03-03,125,10,0.0003776404799851588,0.3776404799851588,43
2020-03-04,161,12,0.0004864009382208845,0.48640093822088454,44
2020-03-05,228,12,0.0006888162354929297,0.6888162354929297,45
2020-03-06,311,15,0.0009395695142030751,0.9395695142030751,46
2020-03-07,428,19,0.0012930410034691837,1.2930410034691837,47
2020-03-08,547,22,0.0016525547404150549,1.652554740415055,48
2020-03-09,748,26,0.0022598006322311903,2.2598006322311903,49
2020-03-10,1018,31,0.0030755040689991334,3.0755040689991335,50
2020-03-11,1263,37,0.0038156794097700445,3.8156794097700444,51
2020-03-12,1668,43,0.005039234564921958,5.0392345649219585,52
2020-03-13,2224,50,0.006718979419895945,6.718979419895946,53
2020-03-14,2898,60,0.008755216887975922,8.755216887975923,54
2020-03-15,3600,68,0.010876045823572572,10.876045823572573,55
2020-03-16,4507,91,0.013616205146344885,13.616205146344885,56
2020-03-17,5906,117,0.017842757398338783,17.842757398338783,57
2020-03-18,8350,162,0.02522638406300861,25.22638406300861,58
2020-03-19,12393,212,0.037440787747648585,37.440787747648585,59
2020-03-20,18001,275,0.05438325024170275,54.38325024170275,60
2020-03-21,24526,358,0.07409608329692803,74.09608329692803,61
2020-03-22,33063,455,0.09988741751799443,99.88741751799444,62
2020-03-23,43500,574,0.13141888703483526,131.41888703483528,63
2020-03-24,53924,769,0.16291108194175763,162.91108194175763,64
2020-03-25,68530,1039,0.20703761674706345,207.03761674706345,65
2020-03-26,85558,1345,0.25848131349256176,258.48131349256175,66
2020-03-27,102829,1758,0.3106591433311512,310.65914333115114,67
2020-03-28,123723,2287,0.37378250484163045,373.78250484163044,68
2020-03-29,142397,2702,0.4301989714275733,430.19897142757327,69
2020-03-30,163863,3356,0.49505041577446457,495.05041577446457,70
2020-03-31,188413,4290,0.5692190060435498,569.2190060435498,71
2020-04-01,215161,5315,0.6500280265126941,650.028026512694,72
2020-04-02,244619,6542,0.7390242925879165,739.0242925879165,73
2020-04-03,277262,7902,0.8376428380931608,837.6428380931608,74
2020-04-04,312497,9466,0.9440921365913774,944.0921365913773,75
2020-04-05,337955,10828,1.0210039073070747,1021.0039073070747,76
2020-04-06,367567,12330,1.1104654264536389,1110.4654264536389,77
2020-04-07,399352,14579,1.2064918477042652,1206.4918477042652,78
2020-04-08,431169,16673,1.3026149449177673,1302.6149449177674,79
2020-04-09,465846,18772,1.4073784563133303,1407.3784563133302,80
2020-04-10,499297,21028,1.5084380698811988,1508.4380698811988,81
2020-04-11,531011,23105,1.6042499913391932,1604.2499913391932,82
2020-04-12,558150,24785,1.686240271229731,1686.240271229731,83
2020-04-13,583894,26547,1.7640160833636345,1764.0160833636346,84
2020-04-14,610541,29246,1.8445199703249506,1844.5199703249505,85
2020-04-15,640557,31994,1.9352020235028269,1935.202023502827,86
2020-04-16,672162,34264,2.0306846424622744,2030.6846424622745,87
2020-04-17,703651,36626,2.125816811056296,2125.816811056296,88
2020-04-18,732031,38571,2.211556305632126,2211.556305632126,89
2020-04-19,757385,40089,2.2881538794684757,2288.1538794684757,90
2020-04-20,784664,41919,2.3705671166965967,2370.5671166965967,91
2020-04-21,810143,44587,2.447542331012932,2447.5423310129318,92
2020-04-22,838845,46896,2.534254627465204,2534.254627465204,93
2020-04-23,872631,49064,2.6363263175194325,2636.3263175194325,94
2020-04-24,909471,51191,2.7476245197806586,2747.624519780659,95
2020-04-25,943743,53151,2.8511644760210695,2851.1644760210697,96
2020-04-26,970350,54406,2.9315475180287907,2931.5475180287904,97
2020-04-27,993704,55979,3.002102844185378,3002.1028441853778,98
2020-04-28,1018356,58373,3.0765795890861307,3076.579589086131,99
2020-04-29,1045059,60887,3.1572526589824803,3157.25265898248,100
2020-04-30,1075474,63097,3.2491401405724694,3249.140140572469,101
